Ref Frequency,Temp,
21699925.71,83.5,-0.153
21699925.47,83.25,-0.164
21699925.13,82.75,-0.18
21699924.96,82.25,-0.187
21699924.63,82,-0.203
21699924.37,81.5,-0.214
21699924.27,81,-0.219
21699924.17,80.25,-0.224
21699924.04,79.75,-0.23
21699924,79.25,-0.232
21699924.11,78.75,-0.227
21699924.02,78,-0.231
21699924.07,77.5,-0.229
21699924.11,76.75,-0.227
21699924.28,76,-0.219
21699924.37,75.5,-0.215
21699924.43,74.75,-0.212
21699924.58,74.25,-0.205
21699924.66,73.5,-0.201
21699924.71,72.75,-0.199
21699924.89,72,-0.191
21699924.64,71.25,-0.202
21699924.67,70.5,-0.201
21699924.64,69.75,-0.202
21699924.68,69.25,-0.2
21699924.53,68.5,-0.207
21699924.48,67.5,-0.21
21699924.38,66.75,-0.214
21699924.35,66,-0.216
21699924.17,65.25,-0.224
21699924.05,64.5,-0.229
21699924.04,63.75,-0.23
21699924.06,63,-0.229
21699924.06,62,-0.229
21699924.07,61.25,-0.228
21699924.13,60.5,-0.226
21699924.13,59.75,-0.226
21699924.2,58.75,-0.222
21699924.33,58,-0.217
21699924.43,57.25,-0.212
21699924.59,56.5,-0.205
21699924.7,55.5,-0.199
21699924.88,54.75,-0.191
21699925.02,54,-0.185
21699925.11,53,-0.181
21699925.27,52.25,-0.173
21699925.4,51.5,-0.167
21699925.73,50.5,-0.152
21699925.55,49.75,-0.16
21699925.78,48.75,-0.15
21699925.95,48,-0.142
21699926.03,47.25,-0.138
21699926.14,46.25,-0.133
21699926.2,45.5,-0.13
21699926.42,44.75,-0.12
21699926.56,43.75,-0.114
21699926.7,43,-0.107
21699926.83,42,-0.102
21699926.94,41.25,-0.096
21699927.03,40.25,-0.092
21699927.13,39.5,-0.087
21699927.22,38.5,-0.084
21699927.33,37.75,-0.078
21699927.4,36.75,-0.075
21699927.4,36,-0.075
21699927.59,35,-0.066
21699927.58,34.25,-0.067
21699927.52,33.25,-0.07
21699927.6,32.5,-0.066
21699927.65,31.5,-0.064
21699927.64,30.75,-0.064
21699927.68,29.75,-0.062
21699927.67,29,-0.062
21699927.81,28,-0.056
21699927.83,27.25,-0.055
21699927.8,26.25,-0.057
21699927.98,25.5,-0.048
21699928.07,24.5,-0.044
21699928.19,23.75,-0.039
21699928.05,22.75,-0.045
21699928.32,22,-0.033
21699928.37,21,-0.03
21699928.59,20.25,-0.02
21699928.52,19.25,-0.024
21699928.71,18.5,-0.015
21699928.85,17.75,-0.008
21699928.93,16.75,-0.005
21699928.99,15.75,-0.002
21699929.12,15,0.004
21699929.18,14,0.007
21699929.23,13.25,0.009
21699929.24,12.25,0.01
21699929.16,11.5,0.006
21699929.18,10.5,0.007
21699929.14,9.75,0.005
21699929.21,8.75,0.008
21699929.15,8,0.006
21699929.11,7,0.004
21699929.07,6.25,0.002
21699929.11,5.25,0.004
21699929.19,4.5,0.008
21699929.15,3.5,0.006
21699929.32,2.25,0.014
21699929.29,1.75,0.012
21699929.46,0.75,0.02
21699929.6,-0.25,0.026
21699929.67,-1,0.03
21699929.87,-1.75,0.039
21699930.07,-2.75,0.048
21699930.18,-3.5,0.053
21699930.23,-4.25,0.055
21699930.41,-5,0.064
21699930.51,-5.75,0.068
21699930.6,-6.5,0.072
21699930.71,-7.25,0.078
21699930.74,-7.75,0.079
21699930.71,-8.5,0.078
21699930.8,-9.25,0.081
21699930.81,-9.75,0.082
21699930.91,-10.25,0.087
21699930.98,-10.75,0.09
21699931.05,-11.5,0.093
21699930.92,-12,0.087
21699931.08,-12.5,0.095
21699931.11,-13,0.096
21699931.2,-13.25,0.1
21699931.25,-13.75,0.102
21699931.21,-14.25,0.101
21699931.28,-14.5,0.104
21699931.38,-15,0.108
21699931.35,-15.25,0.107
21699931.37,-15.75,0.108
21699931.52,-16,0.115
21699931.62,-16.25,0.12
21699931.71,-16.75,0.124
21699931.73,-17,0.125
21699931.86,-17.25,0.13
21699931.99,-17.5,0.136
21699932.01,-17.75,0.137
21699932.07,-18,0.14
21699932.2,-18,0.146
21699932.35,-18.5,0.153
21699932.19,-18.75,0.145
21699932.34,-19,0.153
21699932.46,-19,0.158
21699932.51,-19.25,0.16
