Ref Frequency,Temp,
21699940.52,84,-0.267
21699940.45,84.25,-0.271
21699940.46,84.25,-0.27
21699940.44,84.25,-0.271
21699940.34,84.5,-0.275
21699940.36,84.5,-0.275
21699940.29,84.5,-0.278
21699940.26,84.75,-0.279
21699940.35,84.75,-0.275
21699940.37,84.75,-0.274
21699940.22,84.75,-0.281
21699940.23,85,-0.281
21699940.24,85,-0.28
21699940.17,85,-0.283
21699940.22,85,-0.281
21699940.22,85,-0.281
21699940.25,85,-0.28
21699940.28,85,-0.278
21699940.32,85,-0.277
21699940.42,84.75,-0.272
21699940.47,84.75,-0.27
21699940.57,84.5,-0.265
21699940.7,84.25,-0.259
21699940.9,84,-0.25
21699940.92,83.75,-0.249
21699941.18,83.75,-0.237
21699941.41,83.25,-0.226
21699941.69,82.75,-0.214
21699941.94,82.5,-0.202
21699942.12,82,-0.194
21699942.42,81.5,-0.18
21699942.67,80.75,-0.168
21699942.78,80.5,-0.163
21699942.98,80,-0.154
21699943.07,79.5,-0.15
21699943.17,78.75,-0.145
21699943.06,78,-0.15
21699942.88,77.75,-0.159
21699942.8,77,-0.162
21699942.59,76.25,-0.172
21699942.49,75.75,-0.176
21699942.35,75,-0.183
21699942.26,74.5,-0.187
21699942.15,73.75,-0.192
21699942.1,73,-0.194
21699942.1,72.25,-0.195
21699941.99,71.5,-0.2
21699941.95,70.75,-0.201
21699941.88,70,-0.205
21699941.93,69.25,-0.202
21699941.92,68.5,-0.203
21699941.89,68,-0.204
21699942.02,67,-0.198
21699941.98,66.25,-0.2
21699942,65.25,-0.199
21699942.09,64.75,-0.195
21699942.28,63.75,-0.186
21699942.41,63,-0.18
21699942.71,62.25,-0.167
21699942.8,61.5,-0.162
21699943.02,60.5,-0.152
21699943.23,59.75,-0.142
21699943.3,59,-0.139
21699943.53,58.25,-0.128
21699943.71,57.25,-0.12
21699943.77,56.5,-0.118
21699943.86,55.75,-0.113
21699943.9,54.75,-0.111
21699943.99,53.75,-0.107
21699943.93,53,-0.11
21699943.95,52.25,-0.109
21699943.82,51.5,-0.115
21699943.73,50.5,-0.12
21699943.64,49.5,-0.124
21699943.44,48.75,-0.133
21699943.25,48,-0.142
21699942.97,47,-0.154
21699942.77,46.25,-0.164
21699942.4,45.5,-0.181
21699942.16,44.5,-0.192
