Offset Frequency (Hz),Phase Noise (dBc/Hz)
+2.11632028822e+004,-6.47041289454e+001
+2.15443469003e+004,-6.51481767972e+001
+2.19323552273e+004,-6.54936857332e+001
+2.23273514878e+004,-6.47767123603e+001
+2.27294615326e+004,-6.57631615580e+001
+2.31388134792e+004,-6.48028293182e+001
+2.35555377526e+004,-6.53711628362e+001
+2.39797671264e+004,-6.56141166408e+001
+2.44116367658e+004,-6.54500175456e+001
+2.48512842698e+004,-6.50154017274e+001
+2.52988497160e+004,-6.64599445362e+001
+2.57544757045e+004,-6.51812183789e+001
+2.62183074038e+004,-6.55237601111e+001
+2.66904925965e+004,-6.55185317699e+001
+2.71711817270e+004,-6.58105233572e+001
+2.76605279492e+004,-6.48557394024e+001
+2.81586871751e+004,-6.53856336021e+001
+2.86658181246e+004,-6.55961493648e+001
+2.91820823764e+004,-6.60088867754e+001
+2.97076444190e+004,-6.68687747820e+001
+3.02426717031e+004,-6.53224117308e+001
+3.07873346955e+004,-6.43687339738e+001
+3.13418069329e+004,-6.42661611094e+001
+3.19062650773e+004,-6.44576666017e+001
+3.24808889724e+004,-6.53690425464e+001
+3.30658617009e+004,-6.60345019962e+001
+3.36613696427e+004,-6.53119506305e+001
+3.42676025343e+004,-6.46781755886e+001
+3.48847535295e+004,-6.45514256503e+001
+3.55130192606e+004,-6.49701628191e+001
+3.61525999011e+004,-6.48329585570e+001
+3.68036992298e+004,-6.55070146268e+001
+3.74665246955e+004,-6.55699770147e+001
+3.81412874828e+004,-6.56086384636e+001
+3.88282025801e+004,-6.62664680202e+001
+3.95274888473e+004,-6.69025641243e+001
+4.02393690862e+004,-6.60128128254e+001
+4.09640701111e+004,-6.52795567682e+001
+4.17018228212e+004,-6.58094042524e+001
+4.24528622739e+004,-6.60408474219e+001
+4.32174277604e+004,-6.51543303008e+001
+4.39957628810e+004,-6.51414906268e+001
+4.47881156235e+004,-6.48272815796e+001
+4.55947384417e+004,-6.52380217328e+001
+4.64158883361e+004,-6.57564477171e+001
+4.72518269359e+004,-6.55970583503e+001
+4.81028205818e+004,-6.50069907830e+001
+4.89691404115e+004,-6.43242166544e+001
+4.98510624459e+004,-6.56304619066e+001
+5.07488676766e+004,-6.53353149506e+001
+5.16628421561e+004,-6.60689995779e+001
+5.25932770886e+004,-6.54362691426e+001
+5.35404689227e+004,-6.54711893247e+001
+5.45047194461e+004,-6.54975057582e+001
+5.54863358815e+004,-6.64477680827e+001
+5.64856309846e+004,-6.59107959169e+001
+5.75029231439e+004,-6.62401423421e+001
+5.85385364818e+004,-6.62109511232e+001
+5.95928009583e+004,-6.50390809440e+001
+6.06660524757e+004,-6.46270214520e+001
+6.17586329859e+004,-6.53068473125e+001
+6.28708905992e+004,-6.42599439310e+001
+6.40031796953e+004,-6.54429284378e+001
+6.51558610364e+004,-6.60034364909e+001
+6.63293018816e+004,-6.58890164703e+001
+6.75238761044e+004,-6.59398687782e+001
+6.87399643118e+004,-6.48380274191e+001
+6.99779539652e+004,-6.35076411101e+001
+7.12382395042e+004,-6.43658894189e+001
+7.25212224722e+004,-6.61965014846e+001
+7.38273116442e+004,-6.58064357144e+001
+7.51569231572e+004,-6.59037654988e+001
+7.65104806427e+004,-6.52841278219e+001
+7.78884153618e+004,-6.57400088307e+001
