Offset Frequency (Hz),Phase Noise (dBc/Hz)
+3.95274888473e+001,-1.08733706386e+002
+4.02393690862e+001,-1.08822117572e+002
+4.09640701111e+001,-1.09020823393e+002
+4.17018228212e+001,-1.09584374406e+002
+4.24528622739e+001,-1.09467503169e+002
+4.32174277604e+001,-1.09248076001e+002
+4.39957628810e+001,-1.10158929158e+002
+4.47881156235e+001,-1.10162857039e+002
+4.55947384417e+001,-1.11254808113e+002
+4.64158883361e+001,-1.11188534907e+002
+4.72518269359e+001,-1.10103273816e+002
+4.81028205818e+001,-1.12362136236e+002
+4.89691404115e+001,-1.11486372935e+002
+4.98510624459e+001,-1.10787048807e+002
+5.07488676766e+001,-1.11770322733e+002
+5.16628421561e+001,-1.10989223654e+002
+5.25932770886e+001,-1.12074845472e+002
+5.35404689227e+001,-1.11538949620e+002
+5.45047194461e+001,-1.11910027460e+002
+5.54863358815e+001,-1.11271011382e+002
+5.64856309846e+001,-1.12291379396e+002
+5.75029231439e+001,-1.12818959003e+002
+5.85385364818e+001,-1.12132668444e+002
+5.95928009583e+001,-1.09183153197e+002
+6.06660524757e+001,-1.15764938372e+002
+6.17586329859e+001,-1.12593734911e+002
+6.28708905992e+001,-1.11246530267e+002
+6.40031796953e+001,-1.17587581389e+002
+6.51558610364e+001,-1.15887920534e+002
+6.63293018816e+001,-1.14672567633e+002
+6.75238761044e+001,-1.15076570994e+002
+6.87399643118e+001,-1.13894838944e+002
+6.99779539652e+001,-1.15516245576e+002
+7.12382395042e+001,-1.13664278019e+002
+7.25212224722e+001,-1.14687908272e+002
+7.38273116442e+001,-1.14899668058e+002
+7.51569231572e+001,-1.14699276121e+002
+7.65104806427e+001,-1.15722482133e+002
+7.78884153618e+001,-1.14795294860e+002
+7.92911663423e+001,-1.16853955571e+002
+8.07191805189e+001,-1.18148953649e+002
+8.21729128755e+001,-1.18420339438e+002
+8.36528265901e+001,-1.17688824871e+002
+8.51593931825e+001,-1.17979178285e+002
+8.66930926644e+001,-1.17694594270e+002
+8.82544136923e+001,-1.16209043322e+002
+8.98438537235e+001,-1.18658454403e+002
+9.14619191741e+001,-1.16358628083e+002
+9.31091255809e+001,-1.16633254735e+002
+9.47859977652e+001,-1.16915415618e+002
+9.64930700003e+001,-1.19115298659e+002
+9.82308861817e+001,-1.19788090085e+002
+1.00000000000e+002,-1.17953092025e+002
+1.01800975118e+002,-1.17785468183e+002
+1.03634385350e+002,-1.16949252903e+002
+1.05500814844e+002,-1.19100915481e+002
+1.07400858268e+002,-1.19792646816e+002
+1.09335121002e+002,-1.17572614046e+002
+1.11304219327e+002,-1.18642790389e+002
+1.13308780622e+002,-1.18314891250e+002
+1.15349443568e+002,-1.18515930634e+002
+1.17426858345e+002,-1.18162355071e+002
+1.19541686846e+002,-1.18210508339e+002
+1.21694602882e+002,-1.18518551637e+002
+1.23886292399e+002,-1.18555763539e+002
+1.26117453700e+002,-1.20729168396e+002
+1.28388797661e+002,-1.17802548082e+002
+1.30701047961e+002,-1.18400487900e+002
+1.33054941314e+002,-1.18334892230e+002
+1.35451227700e+002,-1.19295233384e+002
+1.37890670608e+002,-1.18853836206e+002
+1.40374047276e+002,-1.21044889111e+002
+1.42902148939e+002,-1.19331552124e+002
+1.45475781085e+002,-1.21101919124e+002
+1.48095763705e+002,-1.20942564795e+002
+1.50762931560e+002,-1.20070339483e+002
+1.53478134445e+002,-1.19263842397e+002
+1.56242237458e+002,-1.20987967864e+002
