Offset Frequency (Hz),Phase Noise (dBc/Hz)
+8.21729128755e+001,-1.35776727950e+002
+8.36528265901e+001,-1.30888737099e+002
+8.51593931825e+001,-1.36533970486e+002
+8.66930926644e+001,-1.31944463559e+002
+8.82544136923e+001,-1.30212968263e+002
+8.98438537235e+001,-1.28775228538e+002
+9.14619191741e+001,-1.37197335038e+002
+9.31091255809e+001,-1.28638130440e+002
+9.47859977652e+001,-1.32917447546e+002
+9.64930700003e+001,-1.38834204181e+002
+9.82308861817e+001,-1.30449780525e+002
+1.00000000000e+002,-1.31243216941e+002
+1.01800975118e+002,+0.00000000000e+000
+1.03634385350e+002,+0.00000000000e+000
+1.05500814844e+002,+0.00000000000e+000
+1.07400858268e+002,+0.00000000000e+000
+1.09335121002e+002,+0.00000000000e+000
+1.11304219327e+002,+0.00000000000e+000
+1.13308780622e+002,+0.00000000000e+000
+1.15349443568e+002,+0.00000000000e+000
+1.17426858345e+002,+0.00000000000e+000
+1.19541686846e+002,+0.00000000000e+000
+1.21694602882e+002,+0.00000000000e+000
+1.23886292399e+002,+0.00000000000e+000
+1.26117453700e+002,+0.00000000000e+000
+1.28388797661e+002,+0.00000000000e+000
+1.30701047961e+002,+0.00000000000e+000
+1.33054941314e+002,+0.00000000000e+000
+1.35451227700e+002,+0.00000000000e+000
+1.37890670608e+002,+0.00000000000e+000
+1.40374047276e+002,+0.00000000000e+000
+1.42902148939e+002,+0.00000000000e+000
+1.45475781085e+002,+0.00000000000e+000
+1.48095763705e+002,+0.00000000000e+000
+1.50762931560e+002,+0.00000000000e+000
+1.53478134445e+002,+0.00000000000e+000
+1.56242237458e+002,+0.00000000000e+000
+1.59056121278e+002,+0.00000000000e+000
+1.61920682446e+002,+0.00000000000e+000
+1.64836833648e+002,+0.00000000000e+000
+1.67805504007e+002,+0.00000000000e+000
+1.70827639381e+002,+0.00000000000e+000
+1.73904202661e+002,+0.00000000000e+000
+1.77036174080e+002,+0.00000000000e+000
+1.80224551525e+002,+0.00000000000e+000
+1.83470350855e+002,+0.00000000000e+000
+1.86774606222e+002,+0.00000000000e+000
+1.90138370407e+002,+0.00000000000e+000
+1.93562715148e+002,+0.00000000000e+000
+1.97048731486e+002,+0.00000000000e+000
+2.00597530110e+002,+0.00000000000e+000
+2.04210241715e+002,+0.00000000000e+000
