Offset Frequency (Hz),Phase Noise (dBc/Hz)
+3.07873346955e+002,-1.25051910081e+002
+3.13418069329e+002,-1.28565981229e+002
+3.19062650773e+002,-1.26542678501e+002
+3.24808889724e+002,-1.25648923927e+002
+3.30658617009e+002,-1.27364224976e+002
+3.36613696427e+002,-1.28255867069e+002
+3.42676025343e+002,-1.27229050612e+002
+3.48847535295e+002,-1.28646341493e+002
+3.55130192606e+002,-1.27497240028e+002
+3.61525999011e+002,-1.25851753588e+002
+3.68036992298e+002,-1.25883955377e+002
+3.74665246955e+002,-1.26393902971e+002
+3.81412874828e+002,-1.27422358485e+002
+3.88282025801e+002,-1.29253184155e+002
+3.95274888473e+002,-1.29744564109e+002
+4.02393690862e+002,-1.28133459868e+002
+4.09640701111e+002,-1.29198439574e+002
+4.17018228212e+002,-1.28612594243e+002
+4.24528622739e+002,-1.28574399269e+002
+4.32174277604e+002,-1.28916519474e+002
+4.39957628810e+002,-1.28614443179e+002
+4.47881156235e+002,-1.27212901326e+002
+4.55947384417e+002,-1.26933419775e+002
+4.64158883361e+002,-1.27644432777e+002
+4.72518269359e+002,-1.31060177791e+002
+4.81028205818e+002,-1.36072615417e+002
+4.89691404115e+002,-1.29639975890e+002
+4.98510624459e+002,-1.30306266926e+002
+5.07488676766e+002,-1.34132639975e+002
+5.16628421561e+002,-1.31547617732e+002
+5.25932770886e+002,-1.30214801925e+002
+5.35404689227e+002,-1.28744098494e+002
+5.45047194461e+002,-1.33033939891e+002
+5.54863358815e+002,-1.34538310534e+002
+5.64856309846e+002,-1.30847610505e+002
+5.75029231439e+002,-1.33288895848e+002
+5.85385364818e+002,-1.30927037958e+002
+5.95928009583e+002,-1.32514475279e+002
+6.06660524757e+002,-1.33772963146e+002
+6.17586329859e+002,-1.32812792329e+002
+6.28708905992e+002,-1.34614869606e+002
+6.40031796953e+002,-1.33180486979e+002
+6.51558610364e+002,-1.32371888366e+002
+6.63293018816e+002,-1.34492273891e+002
+6.75238761044e+002,-1.30417206522e+002
+6.87399643118e+002,-1.32572948717e+002
+6.99779539652e+002,-1.32952866584e+002
+7.12382395042e+002,-1.34110389043e+002
+7.25212224722e+002,-1.32885964857e+002
+7.38273116442e+002,-1.31781432099e+002
+7.51569231572e+002,-1.33854613228e+002
+7.65104806427e+002,-1.33061114692e+002
+7.78884153618e+002,-1.34228665003e+002
+7.92911663423e+002,-1.37700934422e+002
+8.07191805189e+002,-1.31377438356e+002
